,Tweets
59,"RT @hariankompas: Isyana Sarasvati benar-benar menunjukkan sosoknya yang baru. Saat tampil di Kelenteng Sam Poo Kong, Semarang, @isyanasara…"
60,"RT @skyinterlude_: teman perjalananku dari 2019, masa² utbk, sampai gatau kapan. Sekali lagi terima kasih @isyanasarasvati https://t.co/AQX…"
61,"RT @gen987fm: Sayang banget sama @isyanasarasvati 💚💚💚

#ArtisPilihanGen https://t.co/X0QPFeMbkt"
62,RT @nokturnalian: Belum bisa move on dari Lexiconcert live on tour Semarang. Apalagi akhirnya bisa lihat kakak-adik ini kolaborasi secara l…
63,"RT @zarskuyy: @isyanasarasvati KONSERRR YANGG SANGAT GILAAA PECAHHHH KERENNN 🔥🔥❤️❤️🤘🏼 GOOD JOB KAK ISYANN AND TEAM, SUKSES SELALUUU https:/…"
64,RT @yosafatss: @isyanasarasvati merinding sepanjang konser🔥🔥 https://t.co/A4904nMfzM
65,RT @PuspaHA: thank uuu inyong @isyanasarasvati sudah memberikan kesempatan menjadi bagian perjalanan dari #LEXICONCERT SEMARANG❤️‍🔥🔥 https:…
66,"#LEXICONCERT SEMARANG : UNLOCKED! Terima kasih, next stop! SURABAYA ❤️‍🔥 https://t.co/KZJ02Wk02Z"
67,"RT @maltesebiru: sempet sebelahan sm isyana krn isyana membelah lautan penonton 
UNTUNG BADANKU GEDE JDI GA JATOH KEDORONG KEINJEK keplinde…"
68,"RT @hany_pin: Finally meet you my lovely @isyanasarasvati 
Thankyou Pendekar cahayaku dah diem2 beliin tiket. 🤍
And big thanks to my Lord J…"
69,"RT @HujaanApi: Thank you for tonight @isyanasarasvati ❤ and see you again nyong!
gilaa gokilll keren abiezz https://t.co/zTKzWkcPeS"
70,"RT @YourYooKarina: Last night ON FIRE with @isyanasarasvati at LEXICONCERT [Sam Poo Kong, Semarang] 💥❤
Anw Isyana is my fav #1 Indonesian s…"
71,"RT @YourYooKarina: Pelawak berkedok idol 😭 tapi aku sayang banget 🥰❤
@isyanasarasvati #LEXICONCERT https://t.co/9JRhr5jIV6"
72,"RT @obokjw: Lexiconcert semalem bener-bener sekereeeeen itu!! Setelah 2 tahun ga nonton konser offline, worth banget bisa nonton lexicon🥺 g…"
73,"RT @Okapetur: Semarang, 17 Juni 2022 ❤️ foto terakhir tangan hoki, bisa tos sama Isyana Sarasvati @isyanasarasvati https://t.co/WrshsbW5sP"
74,"RT @hany_pin: Haduh capek! Bagus bgt! Sayang bgt!!! @isyanasarasvati 
#LEXICONCERT https://t.co/cfSEBcZSSA"
75,"RT @feriqalenist: Prima!

@isyanasarasvati
#LEXICONCERT 
Semarang, 17 Juni 2022 https://t.co/BshkAt7jiQ"
76,"RT @CPrastica: Lexiconcert konser pertama kali setelah pendemi, dan woy gilak woy sangat sangat 🔥 sampai ketemu di konser2 selanjutnya @isy…"
77,"RT @zarskuyy: #LEXICONCERT #lexiconcertsemarang 
PETJAHHHHHHHH BESTT CONCERT, SEE YAAAA @isyanasarasvati ❤️ https://t.co/WdqgAPe4t9"
78,RT @hookspaceID: 10 TIKET GRATIS NONTON @isyanasarasvati  DI SEMARANG BUAT EDITAN YANG PALING KOCAK. YUK MINLUV TUNGGU SAMPAI JAM 3 SORE. #…
79,RT @chaind27: Kali ini cuma sempet record intronya energy dari My Mystery terlalu kuat bikin ga tahan pengen ikutan headbang dan teriak2 #L…
80,RT @chaind27: Di tengah2 lagu @isyanasarasvati tiba2 ilang dr panggung seakan mic yang dia pegang itu sebuah portkey. Terus tiba2 muncul dq…
81,"RT @TOLEKOBRA: Udah lama ngefans, cuman sejak nonton lexiconcert statusku berubah jadi ngefans banget anjeng!!!!! @isyanasarasvati gelo lah…"
82,"RT @syaidah2003: Hatur thank you #LEXICONCERT nya 🖤🙏SERUU pisan ASLI, konser paling GELOO paling EDANN!! @isyanasarasvati https://t.co/dYDK…"
83,"RT @mintyicy: pecah banget lexiconcert!! ga puas karna durasinya cuma 2 jam, ga kerasa huhu tau tau beres saking menikmatinyaa. luv kocanpi…"
84,"RT @siskakomaladw17: ""Istri Dokter tapi tetap dalam jiwa Isyanation""🖤

opening yang askhgdfhkhh bgt🔥🔥 @isyanasarasvati #LEXICONCERT https:/…"
85,"RT @siskakomaladw17: entah dah berapa lama ga ketemu, akhirnya semalem bisa nonton konser isyan lg🤗🖤

see u next gigs👋🏻🔥 @Isyanation_Bdg  @…"
86,RT @ditlicate: #LEXICONCERT @isyanasarasvati you’re the best. I LOVE YOU! 🫶🏻 https://t.co/2Q5wH6ETSO
87,RT @ClassicRockMag: Vote for @isyanasarasvati's My Mystery as your Track Of The Week: https://t.co/WNhy8JriJj https://t.co/IqI2hLi8eQ
88,"WOWW my new song recently got featured in @ClassicRockMag thank you so much, it’s a true honor!❤️‍🔥

https://t.co/kbOKkNHxig"
89,"RT @anditasss: Lexiconcert jujur bikin melongo sih karna saking mengagumkannya🔥

@isyanasarasvati https://t.co/qqMMn1j5DP"
90,"RT @bayuwicks: @isyanasarasvati Kalau cari sekadar menyanyi sih banyak, nah yang ini lengkap dan tepat! Nonton lagi ah di Bandung

#LEXICON…"
91,"RT @mahathjr: setelah tertunda dua tahun, akhirnya #LEXICONCERT  teh @isyanasarasvati ! 🥹🤘🏻 https://t.co/IcicqSJfmD"
92,"RT @kolonigigs_: Berapa kali kah Isyana Sarasvati (@isyanasarasvati ) melakukan headbang? 

#LEXICONCERT 

📸: ladyasafa https://t.co/UxMh7Q…"
93,RT @gilang_jatnika: Momen yang paling ditunggu permainan handal dari @isyanasarasvati dan The tutti #LEXICONCERT https://t.co/GTcNkX0y99
94,"RT @gilang_jatnika: Opening yang keren, perkenalan the tuttis yg unik dan dilanjut lexicon sebagai penanda #LEXICONCERT dimulai @isyanasara…"
95,"RT @nobinobiitaa: @isyanasarasvati GILAK, PECAH BANGET! semalem❤️‍🔥❤️‍🔥❤️‍🔥 Terharu banget akhirnya bisa terlaksana LEXICONCERTnya https://…"
96,"RT @RaiNathania: THE QUEEN @isyanasarasvati 
yang juga ratu komedi.

Membuka live concert saat pandemi ini dengan #LEXICONCERT yang bener-b…"
97,"RT @bugubugupang: #LEXICONCERT Jakarta was beyond my expectation. The hero of the night was @isyanasarasvati setlist. Bukan LED Strip, Visu…"
