,Tweets
57,RT @menyelamiku: Nonton @isyanasarasvati di Swaraya merinding banget anjinggg
58,RT @nanonumberone: @isyanasarasvati 🤟🏻 https://t.co/aIUEUh3bL9
59,RT @BerisikRadio: Duh #bogor @isyanasarasvati at #swaraya https://t.co/chI50egAwW
60,Semangat teruus!❤️ https://t.co/4fVlvcHbp5
61,🙏❤️‍🔥😇 https://t.co/Eq7J7q374e
62,"RT @tattock: Buat yg tadi pengumuman SBMPTN nya tak seperti yg diharapkan, kata @isyanasarasvati : jika kau tak dapatkan yang kau impikan b…"
63,WOW! Terima kasih banyaak 🙏🏻🫣 https://t.co/qVy4mkaVF1
64,"Stream my Mystery EP ❤️‍🔥
 https://t.co/I0hCqxdVmg"
65,"RT @hariankompas: Isyana Sarasvati benar-benar menunjukkan sosoknya yang baru. Saat tampil di Kelenteng Sam Poo Kong, Semarang, @isyanasara…"
66,"RT @skyinterlude_: teman perjalananku dari 2019, masa² utbk, sampai gatau kapan. Sekali lagi terima kasih @isyanasarasvati https://t.co/AQX…"
67,"RT @gen987fm: Sayang banget sama @isyanasarasvati 💚💚💚

#ArtisPilihanGen https://t.co/X0QPFeMbkt"
68,RT @nokturnalian: Belum bisa move on dari Lexiconcert live on tour Semarang. Apalagi akhirnya bisa lihat kakak-adik ini kolaborasi secara l…
69,"RT @zarskuyy: @isyanasarasvati KONSERRR YANGG SANGAT GILAAA PECAHHHH KERENNN 🔥🔥❤️❤️🤘🏼 GOOD JOB KAK ISYANN AND TEAM, SUKSES SELALUUU https:/…"
70,RT @yosafatss: @isyanasarasvati merinding sepanjang konser🔥🔥 https://t.co/A4904nMfzM
71,RT @PuspaHA: thank uuu inyong @isyanasarasvati sudah memberikan kesempatan menjadi bagian perjalanan dari #LEXICONCERT SEMARANG❤️‍🔥🔥 https:…
72,"#LEXICONCERT SEMARANG : UNLOCKED! Terima kasih, next stop! SURABAYA ❤️‍🔥 https://t.co/KZJ02Wk02Z"
73,"RT @maltesebiru: sempet sebelahan sm isyana krn isyana membelah lautan penonton 
UNTUNG BADANKU GEDE JDI GA JATOH KEDORONG KEINJEK keplinde…"
74,"RT @hany_pin: Finally meet you my lovely @isyanasarasvati 
Thankyou Pendekar cahayaku dah diem2 beliin tiket. 🤍
And big thanks to my Lord J…"
75,"RT @HujaanApi: Thank you for tonight @isyanasarasvati ❤ and see you again nyong!
gilaa gokilll keren abiezz https://t.co/zTKzWkcPeS"
76,"RT @YourYooKarina: Last night ON FIRE with @isyanasarasvati at LEXICONCERT [Sam Poo Kong, Semarang] 💥❤
Anw Isyana is my fav #1 Indonesian s…"
77,"RT @YourYooKarina: Pelawak berkedok idol 😭 tapi aku sayang banget 🥰❤
@isyanasarasvati #LEXICONCERT https://t.co/9JRhr5jIV6"
78,"RT @_skangawurr: @isyanasarasvati 🫶🏻
#LEXICONCERT #Lexicon https://t.co/Sc4KgNnMKi"
79,"RT @obokjw: Lexiconcert semalem bener-bener sekereeeeen itu!! Setelah 2 tahun ga nonton konser offline, worth banget bisa nonton lexicon🥺 g…"
80,"RT @Okapetur: Semarang, 17 Juni 2022 ❤️ foto terakhir tangan hoki, bisa tos sama Isyana Sarasvati @isyanasarasvati https://t.co/WrshsbW5sP"
